Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2Ov2,2v2,v1,v3	Water	905.90424340, 905.90424340	14(10,5),v2=1-14(1,14),v1=1	-19.12290		5690.8797	8187.9173	JPL
H2Ov2,2v2,v1,v3	Water	906.16599750, 906.16599750	15(9,7),v2=1-14(2,12),v2=2	-17.87790		5786.8529	8326.0015	JPL
H2Ov=0	Water	906.20589700, 906.20589700	9(2,8)-8(3,5)	-4.04670		1050.1577	1510.9447	JPL
H2Ov2,2v2,v1,v3	Water	907.99818430, 907.99818430	19(4,15),v3=1-18(7,12),v3=1	-19.52110		8496.4240	12224.4751	JPL
H2Ov2,2v2,v1,v3	Water	908.55524820, 908.55524820	21(7,15),v2=1-22(4,18),v2=1	-18.02280		7902.9863	11370.6495	JPL
H2Ov2,2v2,v1,v3	Water	909.18232190, 909.18232190	8(1,8),v3=1-7(3,5),v1=1	-14.03410		4457.8186	6413.8151	JPL
H218Ov=0	Water	909.47801490, 909.47801490	11(6,6)-12(3,9)	-6.66890		2099.5619	3020.7839	JPL
H2Ov=0	Water	912.00923550, 912.00923550	18(6,13)-19(3,16)	-10.89480		4608.2235	6630.2145	JPL
HDO	Water	912.60520210, 912.60520210	4(3,1)-5(1,4)	-4.56050		265.2362	381.6135	JPL
D2O	Water	912.72882500, 912.72882500	15(5,11)-16(2,14)	-5.47910		1678.4641	2414.9215	CDMS
D2O	Water	912.72882500, 912.72882500	15(5,11)-16(2,14)	-5.47450		1678.4641	2414.9215	CDMS
H2Ov2,2v2,v1,v3	Water	913.05375500, 913.05375500	5(2,4),v3=1-4(4,1),v1=1	-10.08120		4135.0176	5949.3758	JPL
D2O	Water	913.28896700, 913.28896700	8(4,5)-9(1,8)	-3.78350		560.7543	806.7957	CDMS
D2O	Water	913.28896700, 913.28896700	8(4,5)-9(1,8)	-3.77890		560.7543	806.7957	CDMS
H2Ov2,2v2,v1,v3	Water	914.57055720, 914.57055720	15(10,6),v2=2-16(8,9),v3=1	-19.73860		7867.0958	11319.0110	JPL
HDO	Water	915.00388960, 915.00388960	7(4,3)-8(2,6)	-5.09050		653.0886	939.6434	JPL
H2Ov=0	Water	916.17158000, 916.17158000	4(2,2)-3(3,1)	-2.37550		285.2193	410.3675	JPL
H2Ov2,2v2,v1,v3	Water	916.23714300, 916.23714300	19(5,14),v2=1-20(4,17),v2=1	-15.11730		6695.2977	9633.0527	JPL
H2Ov2,2v2,v1,v3	Water	919.19824090, 919.19824090	15(9,7),v2=2-14(10,4),v2=2	-17.37800		7537.4814	10844.7688	JPL
H2Ov2,2v2,v1,v3	Water	919.23548160, 919.23548160	11(10,2),v2=2-12(9,3),v2=2	-16.05370		6558.7510	9436.5922	JPL
H2Ov2,2v2,v1,v3	Water	919.24123280, 919.24123280	11(10,1),v2=2-12(9,4),v2=2	-15.57660		6558.7508	9436.5919	JPL
H2Ov2,2v2,v1,v3	Water	919.30134230, 919.30134230	8(6,3),v1=1-8(7,2),v2=2	-13.84430		5008.9630	7206.7900	JPL
HDO	Water	919.31088500, 919.31088500	2(0,2)-1(0,1)	-1.54420		15.5082	22.3127	JPL
H2Ov2,2v2,v1,v3	Water	919.55792210, 919.55792210	15(9,6),v2=2-14(10,5),v2=2	-16.90700		7537.4821	10844.7698	JPL
H2Ov2,2v2,v1,v3	Water	919.73714210, 919.73714210	8(6,2),v1=1-8(7,1),v2=2	-14.31720		5008.9632	7206.7903	JPL
H2Ov2,2v2,v1,v3	Water	921.61954050, 921.61954050	10(5,6),v2=2-9(6,3),v2=2	-11.44360		4996.3320	7188.6168	JPL
H2Ov2,2v2,v1,v3	Water	922.40679800, 922.40679800	9(3,7),v3=1-9(3,6),v1=1	-11.42510		4918.2348	7076.2522	JPL
D2O	Water	922.66651600, 922.66651600	7(3,4)-6(4,3)	-2.43320		405.2833	583.1089	CDMS
