Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
HDO	Water	0.01616500, 0.01616500	8(6,2)-8(6,3)	-12.66340		1105.0032	1589.8440	JPL
HDO	Water	0.03548910, 0.03548910	6(5,1)-6(5,2)	-11.19580		709.1664	1020.3264	JPL
HDO	Water	0.05461830, 0.05461830	4(4,0)-4(4,1)	-10.21260		402.3290	578.8584	JPL
HDO	Water	0.07937580, 0.07937580	9(6,3)-9(6,4)	-11.62210		1244.4371	1790.4571	JPL
HDO	Water	0.10315050, 0.10315050	12(7,5)-12(7,6)	-12.83700		1942.3733	2794.6258	JPL
HDO	Water	0.20991350, 0.20991350	7(5,2)-7(5,3)	-9.94330		818.0064	1176.9220	JPL
HDO	Water	0.31039270, 0.31039270	10(6,4)-10(6,5)	-10.80680		1399.4502	2013.4851	JPL
HDO	Water	0.33336330, 0.33336330	13(7,6)-13(7,7)	-12.27220		2142.8322	3083.0398	JPL
HDO	Water	0.48652800, 0.48652800	5(4,1)-5(4,2)	-8.56600		480.2425	690.9579	JPL
HDO	Water	0.82467060, 0.82467060	3(3,0)-3(3,1)	-7.63970		233.0237	335.2672	JPL
HDO	Water	0.89230920, 0.89230920	8(5,3)-8(5,4)	-9.00340		942.5322	1356.0858	JPL
HDO	Water	0.96419090, 0.96419090	14(7,7)-14(7,8)	-11.83430		2358.7089	3393.6364	JPL
HDO	Water	1.02614460, 1.02614460	11(6,5)-11(6,6)	-10.16670		1570.0617	2258.9556	JPL
H2Ov2,2v2,v1,v3	Water	2.15998000, 2.15998000	4(2,2),v2=1-5(1,5),v2=1	-11.16300		1922.8291	2766.5258	JPL
HDO	Water	2.39456000, 2.39456000	6(4,2)-6(4,3)	-7.45360		573.8905	825.6957	JPL
HDO	Water	2.54002350, 2.54002350	15(7,8)-15(7,9)	-11.50860		2589.9886	3726.3944	JPL
HDO	Water	2.97427270, 2.97427270	12(6,6)-12(6,7)	-9.67130		1756.2856	2526.8887	JPL
HDO	Water	3.04471000, 3.04471000	9(5,4)-9(5,5)	-8.28220		1082.7849	1557.8770	JPL
HDO	Water	3.29675890, 3.29675890	5(0,5)-4(2,2)	-8.71050		221.8361	319.1708	JPL
H2Ov2,2v2,v1,v3	Water	3.50138710, 3.50138710	5(2,3),v1=1-6(1,6),v1=1	-15.12160		4095.8033	5892.9551	JPL
H2Ov2,2v2,v1,v3	Water	4.58193900, 4.58193900	5(2,3),v3=1-6(1,6),v3=1	-15.63830		4195.8181	6036.8543	JPL
H2Ov2,2v2,v1,v3	Water	5.48215050, 5.48215050	10(1,9),v3=1-10(5,6),v2=2	-18.57540		5027.0739	7232.8476	JPL
H218Ov=0	Water	5.62514700, 5.62514700	6(1,6)-5(2,3)	-7.11970		445.1585	640.4801	JPL
HDO	Water	5.70278000, 5.70278000	4(3,1)-4(3,2)	-6.20630		295.4872	425.1377	JPL
H2Ov2,2v2,v1,v3	Water	5.84052370, 5.84052370	5(1,5),v1=1-4(1,4),v3=1	-16.12990		3977.2616	5722.3998	JPL
HDO	Water	6.17296480, 6.17296480	16(7,9)-16(7,10)	-11.28430		2836.6466	4081.2782	JPL
H2Ov2,2v2,v1,v3	Water	6.32813140, 6.32813140	4(3,1),v2=2-5(2,4),v2=2	-13.33980		3598.5159	5177.4685	JPL
H2Ov2,2v2,v1,v3	Water	7.25742420, 7.25742420	9(3,6),v2=1-10(2,9),v2=1	-11.60130		2904.4284	4178.8301	JPL
HDO	Water	7.74144230, 7.74144230	13(6,7)-13(6,8)	-9.30060		1958.1254	2817.2895	JPL
H2Ov=0	Water	8.00658050, 8.00658050	22(4,18)-21(7,15)	-18.62040		6219.6192	8948.6565	JPL
HDO	Water	8.57781200, 8.57781200	7(4,3)-7(4,4)	-6.64130		683.3238	983.1449	JPL
HDO	Water	8.83721000, 8.83721000	10(5,5)-10(5,6)	-7.73140		1238.7943	1782.3384	JPL
D2O	Water	9.23540360, 9.23540360	14(13,2)-15(12,3)	-11.74460		2683.4540	3860.8695	CDMS
D2O	Water	9.23540520, 9.23540520	14(13,1)-15(12,4)	-11.44360		2683.4540	3860.8695	CDMS
D2O	Water	9.24045480, 9.24045480	14(13,2)-15(12,3)	-11.74960		2683.4540	3860.8695	CDMS
D2O	Water	9.24045630, 9.24045630	14(13,1)-15(12,4)	-11.44860		2683.4540	3860.8695	CDMS
HDO	Water	10.27824550, 10.27824550	2(2,0)-2(2,1)	-5.38890	 0.032	108.9262	156.7196	JPL
D2O	Water	10.91942220, 10.91942220	3(1,3)-2(2,0)	-5.90500		74.1420	106.6732	CDMS
D2O	Water	10.91942220, 10.91942220	3(1,3)-2(2,0)	-5.90040		74.1420	106.6732	CDMS
D2O	Water	10.94713390, 10.94713390	4(4,1)-5(3,2)	-6.60910		269.0101	387.0433	CDMS
D2O	Water	10.94713390, 10.94713390	4(4,1)-5(3,2)	-6.60460		269.0101	387.0433	CDMS
H2Ov2,2v2,v1,v3	Water	11.30059350, 11.30059350	8(5,3),v2=2-7(4,4),v1=1	-16.48720		4563.9897	6566.5718	JPL
HDO	Water	11.61788630, 11.61788630	6(2,4)-7(0,7)	-8.08160		403.1614	580.0560	JPL
H2Ov2,2v2,v1,v3	Water	11.63162950, 11.63162950	5(3,3),v1=1-5(1,4),v3=1	-15.19150		4149.8992	5970.7872	JPL
H2Ov2,2v2,v1,v3	Water	12.00880000, 12.00880000	4(2,3),v2=1-3(3,0),v2=1	-9.10320		1907.6158	2744.6373	JPL
D2O	Water	12.32663400, 12.32663400	25(5,21)-24(6,18)	-13.86560		4085.5135	5878.1088	CDMS
D2O	Water	12.35567760, 12.35567760	25(5,21)-24(6,18)	-13.85900		4085.5133	5878.1085	CDMS
H2Ov=0	Water	12.47825350, 12.47825350	15(7,9)-16(4,12)	-13.10060		3623.7652	5213.7967	JPL
H2Ov2,2v2,v1,v3	Water	13.42721310, 13.42721310	14(6,9),v2=2-13(6,8),v3=1	-20.36460		6444.6353	9272.4049	JPL
HDO	Water	13.97157720, 13.97157720	17(7,10)-17(7,11)	-11.15380		3098.6435	4458.2312	JPL
H2Ov2,2v2,v1,v3	Water	16.14269970, 16.14269970	11(8,4),v2=2-10(9,1),v2=2	-17.69150		5996.6369	8627.8343	JPL
H2Ov2,2v2,v1,v3	Water	16.15971350, 16.15971350	11(8,3),v2=2-10(9,2),v2=2	-17.21360		5996.6369	8627.8343	JPL
H2Ov2,2v2,v1,v3	Water	18.29911420, 18.29911420	12(4,9),v1=1-11(7,4),v2=2	-18.57950		5741.4267	8260.6433	JPL
HDO	Water	18.39398020, 18.39398020	14(6,8)-14(6,9)	-9.04110		2175.5659	3130.1360	JPL
HDO	Water	20.46001000, 20.46001000	3(2,1)-4(1,4)	-5.22030	 0.16	156.3822	224.9978	JPL
HDO	Water	20.76677200, 20.76677200	13(1,12)-12(3,9)	-9.58510		1405.1252	2021.6501	JPL
H2Ov=0	Water	22.23507980, 22.23507980	6(1,6)-5(2,3)	-5.88250		446.5107	642.4301	JPL
HDO	Water	22.30767000, 22.30767000	5(3,2)-5(3,3)	-5.28050	 0.09	373.6658	537.6186	JPL
HDO	Water	22.58157000, 22.58157000	11(5,6)-11(5,7)	-7.32260		1410.5666	2029.4790	JPL
H2Ov2,2v2,v1,v3	Water	23.05534960, 23.05534960	4(3,2),v1=1-3(3,1),v3=1	-15.62960		4030.0698	5798.3792	JPL
HDO	Water	24.88477000, 24.88477000	8(4,4)-8(4,5)	-6.04040		808.5630	1163.3351	JPL
H2Ov2,2v2,v1,v3	Water	26.83427000, 26.83427000	5(3,2),v2=1-4(4,1),v2=1	-8.90990		2129.5992	3064.0223	JPL
HDO	Water	26.88038000, 26.88038000	7(1,7)-6(2,4)	-5.67500		403.5489	580.6135	JPL
H2Ov=0	Water	27.20645820, 27.20645820	23(6,17)-24(5,20)	-19.12650		7210.5493	10374.3858	JPL
H2Ov2,2v2,v1,v3	Water	28.19858610, 28.19858610	4(1,3),v1=1-3(1,2),v3=1	-15.02420		3926.8622	5649.8863	JPL
HDO	Water	28.66834000, 28.66834000	11(7,5)-12(6,6)	-7.78630		1756.3848	2527.0314	JPL
D2O	Water	30.18249000, 30.18249000	8(7,2)-9(6,3)	-6.77190		879.0478	1264.7464	CDMS
D2O	Water	30.18249000, 30.18249000	8(7,2)-9(6,3)	-6.76740		879.0478	1264.7464	CDMS
D2O	Water	30.77850000, 30.77850000	8(7,1)-9(6,4)	-6.45390		879.0280	1264.7179	CDMS
D2O	Water	30.77850000, 30.77850000	8(7,1)-9(6,4)	-6.44940		879.0280	1264.7179	CDMS
HDO	Water	31.67043000, 31.67043000	11(7,4)-12(6,7)	-7.69970		1756.2856	2526.8887	JPL
H2Ov2,2v2,v1,v3	Water	32.66492170, 32.66492170	16(5,11),v3=1-17(5,12),v2=2	-20.59240		7463.3969	10738.1776	JPL
H2Ov2,2v2,v1,v3	Water	33.87480130, 33.87480130	12(6,7),v3=1-13(3,10),v3=1	-17.65720		6132.6444	8823.5190	JPL
H2Ov2,2v2,v1,v3	Water	36.56905670, 36.56905670	9(9,0),v2=2-10(7,3),v3=1	-18.26940		5748.6985	8271.1058	JPL
H2Ov2,2v2,v1,v3	Water	37.68484560, 37.68484560	9(9,1),v2=2-10(7,4),v3=1	-18.71960		5748.6613	8271.0523	JPL
H2Ov2,2v2,v1,v3	Water	38.24248400, 38.24248400	16(7,10),v1=1-17(4,13),v1=1	-20.44510		7597.8172	10931.5786	JPL
H2Ov2,2v2,v1,v3	Water	38.78818920, 38.78818920	16(4,12),v1=1-15(7,9),v1=1	-19.65900		7220.1184	10388.1536	JPL
D2O	Water	39.21166400, 39.21166400	20(7,14)-21(4,17)	-10.95080		3021.7243	4347.5622	CDMS
D2O	Water	39.21317330, 39.21317330	20(7,14)-21(4,17)	-10.95540		3021.7243	4347.5622	CDMS
HDO	Water	40.35792340, 40.35792340	15(6,9)-15(6,10)	-8.88390		2408.5613	3465.3625	JPL
D2O	Water	43.00886670, 43.00886670	19(7,13)-20(4,16)	-10.08580		2777.4651	3996.1297	CDMS
D2O	Water	43.00942620, 43.00942620	19(7,13)-20(4,16)	-10.09030		2777.4650	3996.1296	CDMS
D2O	Water	43.41456000, 43.41456000	4(2,3)-3(3,0)	-5.11750		156.6629	225.4017	CDMS
D2O	Water	43.41456000, 43.41456000	4(2,3)-3(3,0)	-5.11290		156.6629	225.4017	CDMS
D2O	Water	43.84010070, 43.84010070	23(9,15)-24(6,18)	-12.86240		4085.5135	5878.1088	CDMS
D2O	Water	43.85444340, 43.85444340	23(9,15)-24(6,18)	-12.85750		4085.5133	5878.1085	CDMS
HDO	Water	45.90276000, 45.90276000	13(2,12)-12(3,9)	-7.22630		1405.1252	2021.6501	JPL
H2Ov2,2v2,v1,v3	Water	46.25575380, 46.25575380	6(5,1),v2=2-6(1,6),v3=1	-16.62290		4195.8181	6036.8543	JPL
H2Ov2,2v2,v1,v3	Water	46.39243130, 46.39243130	4(3,1),v1=1-3(3,0),v3=1	-14.56770		4030.3060	5798.7190	JPL
H2Ov2,2v2,v1,v3	Water	48.77937790, 48.77937790	11(9,3),v2=2-10(10,0),v1=1	-17.80020		6264.7435	9013.5804	JPL
H2Ov2,2v2,v1,v3	Water	48.78140960, 48.78140960	11(9,2),v2=2-10(10,1),v1=1	-17.32300		6264.7435	9013.5804	JPL
H2Ov2,2v2,v1,v3	Water	49.39181650, 49.39181650	21(1,21),v2=1-21(6,16),v=0	-19.63840		5996.5157	8627.6599	JPL
HDO	Water	50.23630000, 50.23630000	3(2,1)-3(2,2)	-4.27260		155.3890	223.5688	JPL
H2Ov2,2v2,v1,v3	Water	50.27921230, 50.27921230	5(0,5),v1=1-4(0,4),v3=1	-15.24250		3974.6309	5718.6149	JPL
HDO	Water	51.91787000, 51.91787000	12(5,7)-12(5,8)	-7.03860		1598.0679	2299.2500	JPL
D2O	Water	55.48232000, 55.48232000	4(4,0)-5(3,3)	-4.90200		267.5305	384.9145	CDMS
D2O	Water	55.48232000, 55.48232000	4(4,0)-5(3,3)	-4.89740		267.5305	384.9145	CDMS
H2Ov2,2v2,v1,v3	Water	56.54964530, 56.54964530	13(4,9),v2=1-14(11,4),v=0	-20.67990		4172.1525	6002.8048	JPL
HDO	Water	61.18595000, 61.18595000	4(3,1)-5(2,4)	-4.43000		293.6364	422.4748	JPL
H2Ov2,2v2,v1,v3	Water	61.52038770, 61.52038770	6(2,5),v1=1-6(5,2),v2=2	-16.12660		4197.3388	6039.0423	JPL
HDO	Water	61.70459000, 61.70459000	9(4,5)-9(4,6)	-5.60720		949.5772	1366.2219	JPL
HDO	Water	64.42734000, 64.42734000	6(3,3)-6(3,4)	-4.64170		467.5144	672.6451	JPL
H2Ov2,2v2,v1,v3	Water	64.53881680, 64.53881680	6(3,4),v1=1-6(1,5),v3=1	-13.95640		4290.7571	6173.4505	JPL
H2Ov2,2v2,v1,v3	Water	64.59003990, 64.59003990	15(10,6),v1=1-14(11,3),v2=2	-20.73770		7829.5375	11264.9729	JPL
H2Ov2,2v2,v1,v3	Water	64.64150110, 64.64150110	15(10,5),v1=1-14(11,4),v2=2	-20.25990		7829.5374	11264.9728	JPL
H2Ov2,2v2,v1,v3	Water	67.42385690, 67.42385690	19(2,17),v1=1-19(3,16),v2=2	-20.78700		7903.9190	11371.9914	JPL
H2Ov2,2v2,v1,v3	Water	67.80396000, 67.80396000	4(1,4),v2=1-3(2,1),v2=1	-7.38690		1819.3351	2617.6209	JPL
H2Ov2,2v2,v1,v3	Water	69.37842830, 69.37842830	10(1,10),v3=1-9(3,7),v1=1	-16.86010		4850.4413	6978.7123	JPL
HDO	Water	69.55058000, 69.55058000	6(0,6)-5(2,3)	-6.23140		303.9947	437.3780	JPL
D2O	Water	70.24063000, 70.24063000	8(5,4)-7(6,1)	-5.55410		668.8521	962.3234	CDMS
D2O	Water	70.24063000, 70.24063000	8(5,4)-7(6,1)	-5.54960		668.8521	962.3234	CDMS
H2Ov2,2v2,v1,v3	Water	71.06689650, 71.06689650	10(3,7),v2=2-10(0,10),v1=1	-15.94980		4750.3623	6834.7208	JPL
H2Ov=0	Water	71.59243160, 71.59243160	19(4,16)-18(5,13)	-13.49890		4606.1683	6627.2575	JPL
D2O	Water	74.47169000, 74.47169000	8(5,3)-7(6,2)	-5.20220		668.8515	962.3226	CDMS
D2O	Water	74.47169000, 74.47169000	8(5,3)-7(6,2)	-5.19770		668.8515	962.3226	CDMS
H2Ov2,2v2,v1,v3	Water	74.81462230, 74.81462230	19(4,16),v2=2-18(5,13),v2=2	-20.02730		7904.2216	11372.4268	JPL
D2O	Water	80.11629790, 80.11629790	17(15,2)-16(16,1)	-12.44990		3676.6953	5289.9140	CDMS
D2O	Water	80.11629790, 80.11629790	17(15,2)-16(16,1)	-12.14890		3676.6953	5289.9140	CDMS
D2O	Water	80.17363010, 80.17363010	17(15,3)-16(16,0)	-12.13880		3676.6934	5289.9112	CDMS
D2O	Water	80.17363010, 80.17363010	17(15,3)-16(16,0)	-12.43980		3676.6934	5289.9112	CDMS
HDO	Water	80.57829500, 80.57829500	1(1,0)-1(1,1)	-3.78230	<0.4g	29.8086	42.8877	JPL
H2Ov2,2v2,v1,v3	Water	82.03286800, 82.03286800	18(5,13),v2=1-19(4,16),v2=1	-16.72920		6270.0107	9021.1587	JPL
HDO	Water	82.41209720, 82.41209720	16(6,10)-16(6,11)	-8.82330		2657.0221	3822.8401	JPL
H2Ov2,2v2,v1,v3	Water	86.29432540, 86.29432540	14(7,7),v3=1-13(9,4),v1=1	-19.10060		6946.7014	9994.7670	JPL
D2O	Water	87.57404870, 87.57404870	15(15,1)-16(14,2)	-11.18890		3264.4081	4696.7281	CDMS
D2O	Water	87.57404870, 87.57404870	15(15,1)-16(14,2)	-11.49000		3264.4081	4696.7281	CDMS
D2O	Water	87.60648730, 87.60648730	15(15,0)-16(14,3)	-11.49720		3264.4082	4696.7282	CDMS
D2O	Water	87.60648730, 87.60648730	15(15,0)-16(14,3)	-11.19620		3264.4082	4696.7282	CDMS
D2O	Water	87.72378540, 87.72378540	13(12,2)-14(11,3)	-8.71330		2320.9528	3339.3142	CDMS
D2O	Water	87.72379910, 87.72379910	13(12,1)-14(11,4)	-9.01430		2320.9528	3339.3142	CDMS
D2O	Water	87.72585810, 87.72585810	13(12,2)-14(11,3)	-8.71830		2320.9528	3339.3142	CDMS
D2O	Water	87.72587190, 87.72587190	13(12,1)-14(11,4)	-9.01930		2320.9528	3339.3142	CDMS
HDO	Water	87.96281000, 87.96281000	7(3,5)-6(4,2)	-4.52290		573.9704	825.8106	JPL
H2Ov2,2v2,v1,v3	Water	90.86659310, 90.86659310	8(2,7),v3=1-8(2,6),v1=1	-13.90830		4622.9060	6651.3394	JPL
H2Ov2,2v2,v1,v3	Water	90.98229870, 90.98229870	4(3,2),v1=1-4(1,3),v3=1	-12.53190		4027.8040	5795.1192	JPL
H2Ov2,2v2,v1,v3	Water	91.18546820, 91.18546820	10(5,5),v3=1-11(3,8),v1=1	-16.09290		5439.0563	7825.5991	JPL
D2O	Water	92.42979150, 92.42979150	15(4,11)-16(3,14)	-7.63420		1678.7061	2415.2697	CDMS
D2O	Water	92.42991270, 92.42991270	15(4,11)-16(3,14)	-7.62960		1678.7061	2415.2697	CDMS
D2O	Water	93.35019900, 93.35019900	6(1,6)-5(2,3)	-4.75130		229.9919	330.9051	CDMS
D2O	Water	93.35019900, 93.35019900	6(1,6)-5(2,3)	-4.74670		229.9919	330.9051	CDMS
H2Ov2,2v2,v1,v3	Water	95.40226770, 95.40226770	18(2,17),v2=1-18(9,10),v=0	-18.30570		5255.4488	7561.4286	JPL
H2Ov2,2v2,v1,v3	Water	96.26116000, 96.26116000	4(4,0),v2=1-5(3,3),v2=1	-8.28090		2126.4077	3059.4304	JPL
D2O	Water	97.33320280, 97.33320280	16(13,4)-15(14,1)	-10.52300		3065.2584	4410.1977	CDMS
D2O	Water	97.33320300, 97.33320300	16(13,3)-15(14,2)	-10.22200		3065.2584	4410.1977	CDMS
D2O	Water	97.34353870, 97.34353870	16(13,4)-15(14,1)	-10.51660		3065.2581	4410.1973	CDMS
D2O	Water	97.34353890, 97.34353890	16(13,3)-15(14,2)	-10.21560		3065.2581	4410.1973	CDMS
H2Ov2,2v2,v1,v3	Water	97.37293300, 97.37293300	10(8,3),v2=1-9(9,0),v2=1	-11.87520		3994.2603	5746.8572	JPL
H2Ov2,2v2,v1,v3	Water	97.38377650, 97.38377650	10(8,2),v2=1-9(9,1),v2=1	-12.35220		3994.2603	5746.8572	JPL
H2Ov2,2v2,v1,v3	Water	97.46303690, 97.46303690	10(1,10),v2=1-10(10,1),v=0	-19.19620		2701.8886	3887.4202	JPL
H2Ov2,2v2,v1,v3	Water	101.57321550, 101.57321550	10(10,1),v2=1-9(3,6),v2=2	-19.84700		4493.8043	6465.5906	JPL
D2O	Water	103.07641600, 103.07641600	9(8,2)-10(7,3)	-5.94010		1114.8978	1604.0800	CDMS
D2O	Water	103.07641600, 103.07641600	9(8,2)-10(7,3)	-5.93560		1114.8978	1604.0800	CDMS
D2O	Water	103.15291800, 103.15291800	9(8,1)-10(7,4)	-6.24050		1114.8952	1604.0763	CDMS
D2O	Water	103.15291800, 103.15291800	9(8,1)-10(7,4)	-6.23590		1114.8952	1604.0763	CDMS
D2O	Water	103.56186140, 103.56186140	21(7,15)-22(4,18)	-10.32970		3274.6099	4711.4061	CDMS
D2O	Water	103.56523990, 103.56523990	21(7,15)-22(4,18)	-10.33430		3274.6098	4711.4060	CDMS
D2O	Water	104.87574200, 104.87574200	6(2,4)-7(1,7)	-4.69220		305.7669	439.9278	CDMS
D2O	Water	104.87574200, 104.87574200	6(2,4)-7(1,7)	-4.68760		305.7668	439.9277	CDMS
HDO	Water	108.89635910, 108.89635910	13(5,8)-13(5,9)	-6.86930		1801.2072	2591.5205	JPL
H2Ov2,2v2,v1,v3	Water	109.16704910, 109.16704910	4(2,2),v1=1-3(2,1),v3=1	-14.94310		3962.9179	5701.7624	JPL
H2Ov2,2v2,v1,v3	Water	110.02652070, 110.02652070	16(6,11),v3=1-17(3,14),v3=1	-19.36940		7502.3694	10794.2504	JPL
D2O	Water	110.16759490, 110.16759490	22(5,17)-21(8,14)	-10.55760		3403.5991	4896.9917	CDMS
D2O	Water	110.17174340, 110.17174340	22(5,17)-21(8,14)	-10.56220		3403.5990	4896.9916	CDMS
H2Ov2,2v2,v1,v3	Water	110.67269510, 110.67269510	16(3,13),v3=1-15(6,10),v3=1	-18.11880		7131.6293	10260.8374	JPL
H2Ov2,2v2,v1,v3	Water	110.70393700, 110.70393700	6(1,5),v1=1-7(4,4),v2=2	-14.59440		4186.5694	6023.5475	JPL
H2Ov2,2v2,v1,v3	Water	113.72615010, 113.72615010	12(6,7),v3=1-11(8,4),v1=1	-18.55450		6129.9808	8819.6867	JPL
H2Ov2,2v2,v1,v3	Water	113.92347330, 113.92347330	23(5,18),v2=1-22(8,15),v2=1	-20.84450		8672.4554	12477.7454	JPL
H2Ov=0	Water	115.54256920, 115.54256920	17(8,10)-18(5,13)	-13.25950		4606.1683	6627.2575	JPL
H2Ov2,2v2,v1,v3	Water	115.66694420, 115.66694420	14(3,11),v1=1-15(1,14),v3=1	-18.97070		6343.4333	9126.7976	JPL
H2Ov2,2v2,v1,v3	Water	117.32654630, 117.32654630	6(2,5),v1=1-6(0,6),v3=1	-13.90810		4195.4773	6036.3640	JPL
H2Ov2,2v2,v1,v3	Water	118.78890500, 118.78890500	14(5,9),v2=2-14(3,12),v3=1	-18.13590		6263.9198	9012.3953	JPL
H2Ov2,2v2,v1,v3	Water	119.99594000, 119.99594000	2(2,0),v2=1-3(1,3),v2=1	-7.32620		1739.4837	2502.7323	JPL
D2O	Water	120.18328000, 120.18328000	11(2,10)-10(3,7)	-5.31930		790.8204	1137.8076	CDMS
D2O	Water	120.18328000, 120.18328000	11(2,10)-10(3,7)	-5.31480		790.8204	1137.8076	CDMS
H2Ov2,2v2,v1,v3	Water	120.54185890, 120.54185890	5(4,1),v2=2-6(3,4),v2=2	-10.86330		3864.9661	5560.8315	JPL
HDO	Water	120.77819000, 120.77819000	5(1,5)-4(2,2)	-3.79000		221.8361	319.1708	JPL
HDO	Water	127.53419320, 127.53419320	7(1,6)-6(3,3)	-5.95850		469.6635	675.7371	JPL
H2Ov2,2v2,v1,v3	Water	129.00437120, 129.00437120	10(5,6),v3=1-9(7,3),v1=1	-17.00350		5430.1808	7812.8293	JPL
H2Ov2,2v2,v1,v3	Water	129.72673330, 129.72673330	8(5,4),v2=2-9(0,9),v1=1	-16.25500		4559.7076	6560.4108	JPL
H2Ov2,2v2,v1,v3	Water	129.81152900, 129.81152900	8(8,1),v2=1-9(7,2),v2=1	-10.63210		3526.6276	5074.0372	JPL
H2Ov2,2v2,v1,v3	Water	129.88950900, 129.88950900	8(8,0),v2=1-9(7,3),v2=1	-11.10870		3526.6250	5074.0334	JPL
D2O	Water	130.14044480, 130.14044480	18(7,12)-19(4,15)	-8.99020		2541.6916	3656.9062	CDMS
D2O	Water	130.14066880, 130.14066880	18(7,12)-19(4,15)	-8.99470		2541.6915	3656.9061	CDMS
D2O	Water	130.62665480, 130.62665480	20(4,17)-19(5,14)	-9.18380		2637.2864	3794.4450	CDMS
D2O	Water	130.62859240, 130.62859240	20(4,17)-19(5,14)	-9.17930		2637.2864	3794.4450	CDMS
HDO	Water	132.84964380, 132.84964380	14(7,8)-13(8,5)	-7.62710		2354.2775	3387.2607	JPL
HDO	Water	133.82314580, 133.82314580	14(7,7)-13(8,6)	-7.62070		2354.2772	3387.2603	JPL
HDO	Water	134.77022000, 134.77022000	10(4,6)-10(4,7)	-5.31890		1106.2641	1591.6581	JPL
H2Ov2,2v2,v1,v3	Water	137.04852100, 137.04852100	3(3,1),v2=2-4(2,2),v2=2	-10.74420		3495.9393	5029.8835	JPL
D2O	Water	137.05666750, 137.05666750	12(11,2)-13(10,3)	-7.89630		1981.9128	2851.5140	CDMS
D2O	Water	137.05678970, 137.05678970	12(11,1)-13(10,4)	-7.59530		1981.9128	2851.5140	CDMS
D2O	Water	137.05733530, 137.05733530	12(11,2)-13(10,3)	-7.90110		1981.9128	2851.5140	CDMS
D2O	Water	137.05745750, 137.05745750	12(11,1)-13(10,4)	-7.60010		1981.9128	2851.5140	CDMS
HDO	Water	138.53057000, 138.53057000	6(1,6)-5(2,3)	-3.91770		303.9947	437.3780	JPL
H2Ov2,2v2,v1,v3	Water	139.03901530, 139.03901530	11(5,7),v2=2-12(1,12),v3=1	-18.18810		5289.1527	7609.9210	JPL
H2Ov2,2v2,v1,v3	Water	139.14968180, 139.14968180	17(5,12),v3=1-16(8,9),v3=1	-20.13780		7867.0958	11319.0110	JPL
H2Ov=0	Water	139.61429300, 139.61429300	14(6,9)-15(3,12)	-9.36360		3080.1788	4431.6961	JPL
H2Ov2,2v2,v1,v3	Water	141.11610290, 141.11610290	11(6,6),v2=2-12(2,11),v3=1	-19.79450		5500.9158	7914.6013	JPL
H2Ov2,2v2,v1,v3	Water	142.20669480, 142.20669480	16(7,10),v2=2-15(8,7),v1=1	-18.98820		7414.8588	10668.3420	JPL
H2Ov2,2v2,v1,v3	Water	142.82682730, 142.82682730	8(4,5),v3=1-7(6,2),v1=1	-15.44260		4846.7737	6973.4355	JPL
HDO	Water	143.72721000, 143.72721000	4(2,2)-4(2,3)	-3.62150	 2.6	217.0418	312.2729	JPL
D2O	Water	145.13480000, 145.13480000	10(9,2)-11(8,3)	-6.53070		1377.9461	1982.5457	CDMS
D2O	Water	145.13480000, 145.13480000	10(9,2)-11(8,3)	-6.52620		1377.9461	1982.5457	CDMS
D2O	Water	145.14382000, 145.14382000	10(9,1)-11(8,4)	-6.22970		1377.9458	1982.5452	CDMS
D2O	Water	145.14382000, 145.14382000	10(9,1)-11(8,4)	-6.22510		1377.9458	1982.5452	CDMS
H2Ov2,2v2,v1,v3	Water	146.18783350, 146.18783350	14(8,7),v2=1-14(1,14),v2=2	-18.30750		5204.0193	7487.4329	JPL
D2O	Water	147.17152580, 147.17152580	20(8,13)-21(5,16)	-10.17410		3142.6713	4521.5770	CDMS
D2O	Water	147.17485260, 147.17485260	20(8,13)-21(5,16)	-10.16950		3142.6712	4521.5768	CDMS
H2Ov2,2v2,v1,v3	Water	147.52150100, 147.52150100	6(3,3),v2=2-5(4,2),v2=2	-11.15810		3868.8730	5566.4526	JPL
HDO	Water	151.61619000, 151.61619000	7(3,4)-7(3,5)	-4.21120	 0.2	576.9045	830.0321	JPL
D2O	Water	151.71040000, 151.71040000	4(1,4)-3(2,1)	-3.85720		112.2516	161.5041	CDMS
D2O	Water	151.71040000, 151.71040000	4(1,4)-3(2,1)	-3.85260		112.2516	161.5041	CDMS
H2Ov2,2v2,v1,v3	Water	153.58350780, 153.58350780	14(7,8),v2=2-14(6,9),v1=1	-18.07530		6676.4694	9605.9629	JPL
D2O	Water	156.38286390, 156.38286390	11(10,2)-12(9,3)	-6.79650		1667.2640	2398.8072	CDMS
D2O	Water	156.38302060, 156.38302060	11(10,2)-12(9,3)	-6.80120		1667.2640	2398.8072	CDMS
D2O	Water	156.38393890, 156.38393890	11(10,1)-12(9,4)	-7.09760		1667.2639	2398.8070	CDMS
D2O	Water	156.38409560, 156.38409560	11(10,1)-12(9,4)	-7.10220		1667.2639	2398.8070	CDMS
HDO	Water	157.40414200, 157.40414200	17(6,11)-17(6,12)	-8.85620		2920.8021	4202.3585	JPL
H2Ov2,2v2,v1,v3	Water	158.22453410, 158.22453410	10(2,9),v3=1-9(3,6),v3=1	-14.11380		5022.2814	7225.9522	JPL
